id,value,rating
wine,67889,88.7489
flavors,67704,88.1545
fruit,57964,88.7062
aromas,40552,88.2018
finish,40208,88.266
acidity,38889,88.5175
palate,37815,88.6516
drink,33563,89.0271
tannins,32045,89.1515
cherry,31609,88.8059
ripe,27477,89.1858
dry,25275,88.4827
black,24493,89.5285
notes,23979,88.5767
spice,22664,89.201
rich,22335,89.8188
fresh,21634,88.5773
red,19539,88.3905
shows,18197,89.0934
berry,17839,88.4085
oak,16865,88.6769
nose,16787,88.5645
offers,15912,88.6373
light,15777,87.7336
texture,15761,89.1786
full,15503,89.2672
sweet,15386,87.8304
plum,15186,88.7276
balanced,15002,89.4973
blend,14836,88.6957
soft,14761,87.7324
bodied,14718,88.7316
blackberry,14427,89.1685
apple,14057,88.1883
age,13983,90.0262
crisp,13416,88.0186
structure,12962,90.0058
fruity,11840,87.7757
white,11814,88.5419
dark,11694,89.7857
citrus,11252,88.0856
bright,11249,88.5327
hint,11222,88.5812
mineral,11185,89.6775
give,11013,88.9385
herb,10874,89.0758
raspberry,10791,88.7359
vanilla,10644,88.5284
touch,10349,88.4027
firm,10148,89.8424
juicy,10049,89.1359
pepper,9945,89.1644
concentrated,9365,90.3436
cabernet,9332,89.1686
lemon,9240,88.6453
peach,9231,88.2795
good,9151,88.0159
green,9117,87.5243
feels,9070,87.3911
currant,8536,88.7997
toast,8515,88.9277
pear,8484,88.5362
chocolate,8397,89.4596
complex,8354,90.5489
opens,8195,88.8357
character,8158,88.3919
vineyard,8089,90.4777
fine,7963,89.9365
smooth,7881,89.1503
come,7807,89.0635
sauvignon,7646,88.7727
years,7616,90.6659
elegant,7573,90.3005
spicy,7298,88.8433
make,6994,88.6903
tastes,6938,87.2042
made,6896,88.7242
bottling,6877,89.8387
style,6826,88.5718
intense,6811,89.9908
medium,6736,87.8878
tart,6723,88.1253
lead,6697,88.5137
pinot,6676,88.6619
mouth,6666,88.221
tight,6622,89.3394
wood,6572,89.1947
long,6335,90.4889
tannic,6213,88.5047
delicious,6065,90.3056
slightly,6014,87.4457
creamy,6001,88.6129
merlot,5963,88.6817
licorice,5959,89.8585
lime,5928,88.4122
baked,5881,89.1841
orange,5872,88.5523
dense,5797,90.3432
clean,5779,87.7352
powerful,5779,90.9731
bit,5702,87.3558
layers,5683,90.2366
herbal,5618,87.4381
grapes,5613,88.6309
earthy,5449,88.5212
syrah,5424,88.8363
alongside,5384,88.9045
flower,5316,88.8555
leather,5229,89.5053
savory,5215,89.4397
color,5211,88.2915
honey,5201,88.9417
ready,5181,88.0253
tobacco,5069,89.5761
easy,4893,86.9319
chardonnay,4886,88.2284
great,4879,90.3841
strawberry,4804,88.4541
delivers,4785,89.4973
vintage,4761,89.8583
rose,4720,88.8429
mouthfeel,4715,88.2282
nice,4665,88.2754
accents,4582,88.8944
smoky,4520,89.165
lively,4514,88.5393
refreshing,4502,88.3545
new,4491,89.9381
time,4422,89.9672
cassis,4388,89.93
scents,4360,88.9153
young,4325,89.4536
apricot,4323,88.6636
edge,4300,88.4924
attractive,4292,87.5349
