id,value,avg_rating
wine,84,88.7489
tannins,48,89.1515
fruit,44,88.7062
years,35,90.6659
flavors,34,88.1545
age,34,90.0262
drink,31,89.0271
balanced,31,89.4973
acidity,30,88.5175
structure,29,90.0058
ripe,29,89.1858
rich,29,89.8188
great,29,90.3841
cherry,26,88.8059
vintage,25,89.8583
sweet,25,87.8304
beautiful,25,91.7701
complex,24,90.5489
black,24,89.5285
powerful,22,90.9731
vineyard,21,90.4777
spice,20,89.201
elegant,20,90.3005
dark,20,89.7857
aromas,20,88.2018
shows,19,89.0934
intense,19,89.9908
notes,18,88.5767
new,18,89.9381
finish,18,88.266
concentrated,18,90.3436
blackberry,18,89.1685
berry,18,88.4085
full,17,89.2672
mineral,16,89.6775
firm,16,89.8424
delivers,16,89.4973
palate,15,88.6516
oak,15,88.6769
dense,15,90.3432
currant,15,88.7997
texture,14,89.1786
long,14,90.4889
give,14,88.9385
dry,14,88.4827
come,14,89.0635
cassis,14,89.93
cabernet,14,89.1686
perfect,13,89.7596
opens,13,88.8357
gorgeous,13,92.506
tobacco,12,89.5761
superb,12,93.171
raspberry,12,88.7359
impressive,12,90.8316
blend,12,88.6957
best,12,90.0326
tight,11,89.3394
red,11,88.3905
licorice,11,89.8585
fresh,11,88.5773
classic,11,90.1025
chocolate,11,89.4596
sauvignon,10,88.7727
perfumed,10,89.2454
layers,10,90.2366
juicy,10,89.1359
delicious,10,90.3056
bottling,10,89.8387
100,10,89.6293
toast,9,88.9277
potential,9,90.6492
merlot,9,88.6817
least,9,91.4966
huge,9,90.9666
fine,9,89.9365
cinnamon,9,89.7314
bright,9,88.5327
barrel,9,89.5828
young,8,89.4536
wood,8,89.1947
wild,8,89.5733
white,8,88.5419
vanilla,8,88.5284
scents,8,88.9153
pure,8,90.2468
produced,8,89.7413
plum,8,88.7276
opulent,8,91.2419
magnificent,8,93.2135
leather,8,89.5053
high,8,88.5066
herb,8,89.0758
expression,8,89.4643
decade,8,91.7597
apple,8,88.1883
time,7,89.9672
take,7,89.1811
stunning,7,93.4526
rose,7,88.8429
release,7,90.3344
keep,7,89.32
honey,7,88.9417
hint,7,88.5812
grace,7,90.7469
franc,7,89.2407
exotic,7,89.6608
evolved,7,89.6858
crushed,7,90.018
cedar,7,89.6257
brings,7,89.0421
better,7,89.1464
smoky,6,89.165
smoke,6,89.4452
pinot,6,88.6619
offers,6,88.6373
noir,6,88.8706
mouth,6,88.221
made,6,88.7242
impeccable,6,92.1763
glass,6,89.7602
finesse,6,90.9575
earthy,6,88.5212
develop,6,90.5049
crisp,6,88.0186
combine,6,89.7943
coffee,6,89.1957
citrus,6,88.0856
chardonnay,6,88.2284
certainly,6,89.9521
boasts,6,89.5288
baked,6,89.1841
aromatic,6,89.4238
wonderful,5,91.2686
winemaker,5,90.6251
vibrant,5,89.6311
touch,5,88.4027
succulent,5,90.3261
streak,5,89.1999
strawberry,5,88.4541
soft,5,87.7324
smooth,5,89.1503
sense,5,89.9635
roasted,5,88.5635
polished,5,90.1334
pepper,5,89.1644
packed,5,90.0228
meat,5,89.1546
luscious,5,90.3824
loaded,5,89.7642
legendary,5,92.7736
incredibly,5,91.8631
hold,5,89.9928
grapes,5,88.6309
good,5,88.0159
focused,5,90.1674
enticing,5,90.5621
depth,5,90.1121
dazzling,5,92.4457
complete,5,90.0089
character,5,88.3919
cellar,5,91.0013
bodied,5,88.7316
15,5,89.3991
world,4,89.6025
varietal,4,88.7235
tremendous,4,91.8916
thick,4,88.743
tea,4,89.5052
tastes,4,87.2042
suggest,4,88.5273
subtle,4,89.3211
strong,4,88.8268
starts,4,88.4523
sophisticated,4,90.3595
severe,4,88.0622
serious,4,90.7238
seamless,4,91.5431
reveals,4,89.5004
refined,4,91.2152
proportion,4,90.2604
pipe,4,91.1619
pear,4,88.5362
overall,4,87.7536
natural,4,88.7733
line,4,89.4393
lemon,4,88.6453
initially,4,89.1321
immense,4,92.5
final,4,88.8177
feminine,4,89.5114
fabulous,4,92.6644
extraordinary,4,93.3864
excellent,4,90.5115
essence,4,89.5265
enjoy,4,88.7619
don't,4,88.7411
dominate,4,88.1152
deep,4,90.3653
cut,4,88.637
core,4,89.6477
continue,4,90.4153
compelling,4,91.4383
clove,4,89.6296
chopped,4,89.5538
champagne,4,90.0864
cayuse,4,95.05
buttered,4,88.4918
brown,4,88.7857
bold,4,89.6487
big,4,89.2955
amazing,4,92.7197
alcohol,4,87.9941
add,4,89.1179
absolutely,4,91.8955
;,4,88.7707
:,4,89.9496
6,4,90.7945
youthful,3,90.1093
wrapped,3,89.6332
worthy,3,91.652
whiff,3,88.938
way,3,88.6407
waves,3,90.0665
violet,3,90.1044
vines,3,90.0982
velvety,3,90.854
variety,3,88.6186
toasty,3,89.3672
tiny,3,89.9806
that's,3,88.6569
term,3,89.4715
tannic,3,88.5047
syrup,3,88.6335
surrounded,3,89.9024
supple,3,89.7331
stage,3,89.6266
spicy,3,88.8433
sonoma,3,89.7063
site,3,91.1687
sip,3,89.5504
single,3,90.3282
silky,3,89.4482
shine,3,90.1529
set,3,88.9269
selection,3,90.0763
seductive,3,91.4039
